country_name,country_code,year,Tax
Slovenia,SI,2010,16.835
South Africa,ZA,2010,
Spain,ES,2010,
Sweden,SE,2010,145.4797368
Switzerland,CH,2010,34.21077639
Ukraine,UA,2010,
Uruguay,UY,2010,
Albania,AL,2010,
China,CN,2010,
Hungary,HU,2010,
Mexico,MX,2010,
Andorra,AD,2010,
Argentina,AR,2011,
Canada,CA,2011,
Chile,CL,2011,
Colombia,CO,2011,
Denmark,DK,2011,29.76006022
Estonia,EE,2011,2.8282
Finland,FI,2011,70.705
France,FR,2011,
Iceland,IS,2011,9.904604311
Ireland,IE,2011,21.185457
Israel,IL,2011,
Japan,JP,2011,
Latvia,LV,2011,0
Liechtenstein,LI,2011,39.01593151
Luxembourg,LU,2011,
Mexico,MX,2011,
Netherlands,NL,2011,
Norway,NO,2011,99.27895938
Poland,PL,2011,0.091587995
Portugal,PT,2011,
Singapore,SG,2011,
Slovenia,SI,2011,17.67625
South Africa,ZA,2011,
Spain,ES,2011,
Sweden,SE,2011,166.0735469
Switzerland,CH,2011,39.01593151
Ukraine,UA,2011,
Uruguay,UY,2011,
Albania,AL,2011,
China,CN,2011,
Hungary,HU,2011,
Mexico,MX,2011,
Andorra,AD,2011,
Argentina,AR,2012,
Canada,CA,2012,
Chile,CL,2012,
Colombia,CO,2012,
Denmark,DK,2012,28.70672446
Estonia,EE,2012,2.6712
Finland,FI,2012,80.136
France,FR,2012,
Iceland,IS,2012,8.965638103
Ireland,IE,2012,26.69666382
Israel,IL,2012,
Japan,JP,2012,1.075378962
Latvia,LV,2012,0
Liechtenstein,LI,2012,39.86269516
Luxembourg,LU,2012,
Mexico,MX,2012,
Netherlands,NL,2012,
Norway,NO,2012,96.60478106
Poland,PL,2012,0.087124879
Portugal,PT,2012,
Singapore,SG,2012,
Slovenia,SI,2012,19.23264
South Africa,ZA,2012,
Spain,ES,2012,
Sweden,SE,2012,163.1198175
Switzerland,CH,2012,39.86269516
Ukraine,UA,2012,
Uruguay,UY,2012,
Albania,AL,2012,
China,CN,2012,
Hungary,HU,2012,
Mexico,MX,2012,
Andorra,AD,2012,
Argentina,AR,2013,
Canada,CA,2013,
Chile,CL,2013,
Colombia,CO,2013,
Denmark,DK,2013,27.8436505
Estonia,EE,2013,2.561
Finland,FI,2013,64.025
France,FR,2013,
Iceland,IS,2013,17.61518696
Ireland,IE,2013,25.59529651
Israel,IL,2013,
Japan,JP,2013,0.940913641
Latvia,LV,2013,0
